Invoice_ID,Customer_ID,Invoice_Date,Due_Date,Invoice_Amount_USD,Invoice_Status,Product_Plan,Invoice_Month
INV00081,C116,2023-07-01,2023-07-31,185.88,Overdue,Pro,2023-07
INV00082,C050,2023-07-01,2023-07-31,630.32,Paid,Enterprise,2023-07
INV00083,C068,2023-07-16,2023-08-15,175.83,Paid,Pro,2023-07
INV00084,C114,2023-07-27,2023-08-26,2191.55,Open,Enterprise,2023-07
INV00085,C073,2023-07-12,2023-08-11,94.48,Open,Basic,2023-07
INV00086,C089,2023-07-24,2023-08-23,733.96,Paid,Pro,2023-07
INV00087,C053,2023-07-26,2023-08-25,166.58,Overdue,Pro,2023-07
INV00088,C038,2023-07-04,2023-08-03,675.26,Paid,Basic,2023-07
INV00089,C035,2023-07-07,2023-08-06,163.44,Open,Enterprise,2023-07
INV00090,C070,2023-07-23,2023-08-22,841.94,Paid,Pro,2023-07
INV00091,C024,2023-07-28,2023-08-27,180.3,Paid,Pro,2023-07
INV00092,C020,2023-07-26,2023-08-25,126.8,Paid,Pro,2023-07
INV00093,C028,2023-07-21,2023-08-20,223.16,Paid,Basic,2023-07
INV00094,C134,2023-07-23,2023-08-22,151.32,Paid,Pro,2023-07
INV00095,C044,2023-07-25,2023-08-24,239.87,Paid,Enterprise,2023-07
INV00096,C116,2023-07-20,2023-08-19,147.0,Paid,Basic,2023-07
INV00097,C037,2023-07-11,2023-08-10,180.21,Overdue,Basic,2023-07
INV00098,C078,2023-07-13,2023-08-12,231.96,Paid,Pro,2023-07
INV00099,C017,2023-07-21,2023-08-20,348.14,Paid,Pro,2023-07
INV00100,C064,2023-07-19,2023-08-18,198.98,Paid,Basic,2023-07
INV00101,C042,2023-07-07,2023-08-06,824.04,Paid,Enterprise,2023-07
INV00102,C038,2023-07-17,2023-08-16,831.56,Paid,Pro,2023-07
INV00103,C124,2023-07-09,2023-08-08,314.61,Paid,Basic,2023-07
INV00104,C140,2023-07-14,2023-08-13,356.69,Open,Enterprise,2023-07
INV00105,C054,2023-07-04,2023-08-03,135.03,Paid,Pro,2023-07
INV00106,C040,2023-07-03,2023-08-02,151.96,Paid,Pro,2023-07
INV00107,C045,2023-07-09,2023-08-08,542.09,Paid,Enterprise,2023-07
INV00108,C132,2023-07-14,2023-08-13,137.01,Paid,Pro,2023-07
INV00109,C098,2023-08-20,2023-09-19,731.04,Partial,Pro,2023-08
INV00110,C094,2023-08-07,2023-09-06,389.55,Overdue,Basic,2023-08
INV00111,C090,2023-08-28,2023-09-27,297.82,Paid,Pro,2023-08
INV00112,C020,2023-08-08,2023-09-07,251.78,Paid,Pro,2023-08
INV00113,C010,2023-08-20,2023-09-19,179.76,Paid,Pro,2023-08
INV00114,C072,2023-08-12,2023-09-11,910.35,Paid,Enterprise,2023-08
INV00115,C098,2023-08-20,2023-09-19,552.54,Paid,Pro,2023-08
INV00116,C121,2023-08-08,2023-09-07,237.92,Paid,Pro,2023-08
INV00117,C065,2023-08-09,2023-09-08,1282.87,Overdue,Basic,2023-08
INV00118,C100,2023-08-20,2023-09-19,106.8,Paid,Pro,2023-08
INV00119,C140,2023-08-21,2023-09-20,235.74,Open,Enterprise,2023-08
INV00120,C054,2023-08-08,2023-09-07,272.68,Paid,Pro,2023-08
INV00121,C072,2023-08-21,2023-09-20,326.27,Paid,Basic,2023-08
INV00122,C011,2023-08-12,2023-09-11,279.03,Paid,Pro,2023-08
INV00123,C125,2023-08-01,2023-08-31,250.51,Paid,Enterprise,2023-08
INV00124,C115,2023-08-19,2023-09-18,191.59,Paid,Basic,2023-08
INV00125,C110,2023-08-10,2023-09-09,168.01,Paid,Pro,2023-08
INV00126,C060,2023-08-20,2023-09-19,2960.81,Paid,Enterprise,2023-08
INV00127,C062,2023-08-20,2023-09-19,1213.39,Paid,Basic,2023-08
INV00128,C069,2023-08-17,2023-09-16,384.97,Paid,Pro,2023-08
INV00129,C047,2023-08-23,2023-09-22,123.25,Paid,Basic,2023-08
INV00130,C061,2023-08-04,2023-09-03,354.11,Paid,Pro,2023-08
INV00131,C087,2023-08-27,2023-09-26,289.83,Paid,Basic,2023-08
INV00132,C121,2023-08-15,2023-09-14,380.0,Paid,Pro,2023-08
INV00133,C114,2023-08-27,2023-09-26,3701.45,Overdue,Enterprise,2023-08
INV00134,C014,2023-08-17,2023-09-16,3796.8,Overdue,Basic,2023-08
INV00135,C068,2023-08-12,2023-09-11,72.77,Open,Pro,2023-08
INV00136,C107,2023-08-02,2023-09-01,783.68,Paid,Pro,2023-08
INV00137,C008,2023-08-12,2023-09-11,244.01,Paid,Enterprise,2023-08
INV00138,C136,2023-08-16,2023-09-15,243.81,Paid,Pro,2023-08
INV00139,C099,2023-08-23,2023-09-22,160.07,Paid,Basic,2023-08
INV00140,C098,2023-08-01,2023-08-31,910.32,Paid,Basic,2023-08
INV00141,C019,2023-08-02,2023-09-01,186.5,Paid,Pro,2023-08
INV00142,C105,2023-08-16,2023-09-15,128.01,Paid,Basic,2023-08
INV00143,C058,2023-08-26,2023-09-25,163.61,Paid,Pro,2023-08
INV00144,C130,2023-08-10,2023-09-09,250.55,Paid,Pro,2023-08
INV00145,C029,2023-08-05,2023-09-04,488.59,Paid,Basic,2023-08
INV00146,C084,2023-08-02,2023-09-01,261.35,Paid,Pro,2023-08
INV00147,C133,2023-08-01,2023-08-31,348.0,Open,Pro,2023-08
INV00148,C008,2023-08-02,2023-09-01,169.83,Paid,Basic,2023-08
INV00149,C101,2023-08-27,2023-09-26,105.15,Paid,Basic,2023-08
INV00150,C034,2023-08-14,2023-09-13,477.17,Paid,Enterprise,2023-08
INV00151,C086,2023-08-25,2023-09-24,116.7,Paid,Basic,2023-08
INV00152,C050,2023-08-13,2023-09-12,1113.6,Paid,Pro,2023-08
INV00153,C053,2023-08-15,2023-09-14,181.9,Partial,Pro,2023-08
INV00154,C059,2023-08-21,2023-09-20,1264.43,Paid,Pro,2023-08
INV00155,C125,2023-08-04,2023-09-03,216.99,Partial,Basic,2023-08
INV00156,C080,2023-08-21,2023-09-20,126.23,Partial,Pro,2023-08
INV00157,C104,2023-08-05,2023-09-04,214.51,Paid,Pro,2023-08
INV00158,C080,2023-08-02,2023-09-01,165.85,Overdue,Basic,2023-08
INV00159,C137,2023-08-28,2023-09-27,690.05,Open,Pro,2023-08
INV00160,C077,2023-08-18,2023-09-17,4128.34,Paid,Enterprise,2023-08
INV00161,C119,2023-08-01,2023-08-31,345.76,Paid,Enterprise,2023-08
INV00162,C049,2023-08-22,2023-09-21,170.53,Paid,Basic,2023-08
INV00163,C021,2023-08-09,2023-09-08,244.68,Paid,Basic,2023-08
INV00164,C039,2023-08-04,2023-09-03,271.87,Overdue,Enterprise,2023-08
INV00165,C009,2023-08-18,2023-09-17,332.78,Paid,Pro,2023-08
INV00166,C116,2023-08-05,2023-09-04,195.02,Partial,Pro,2023-08
INV00167,C033,2023-08-16,2023-09-15,641.84,Overdue,Enterprise,2023-08
INV00168,C098,2023-08-05,2023-09-04,892.87,Open,Enterprise,2023-08
INV00169,C067,2023-08-26,2023-09-25,398.34,Paid,Enterprise,2023-08
INV00170,C099,2023-08-17,2023-09-16,231.83,Paid,Pro,2023-08
INV00171,C029,2023-08-06,2023-09-05,1147.89,Paid,Basic,2023-08
INV00172,C068,2023-08-01,2023-08-31,227.64,Paid,Enterprise,2023-08
INV00173,C038,2023-08-14,2023-09-13,664.08,Paid,Pro,2023-08
INV00174,C026,2023-08-19,2023-09-18,196.58,Overdue,Basic,2023-08
INV00175,C078,2023-08-24,2023-09-23,228.58,Paid,Enterprise,2023-08
INV00176,C068,2023-08-23,2023-09-22,171.8,Paid,Pro,2023-08
INV00177,C025,2023-08-11,2023-09-10,206.26,Paid,Pro,2023-08
INV00178,C037,2023-08-10,2023-09-09,264.35,Paid,Basic,2023-08
INV00179,C130,2023-08-04,2023-09-03,160.59,Paid,Enterprise,2023-08
INV00180,C038,2023-08-21,2023-09-20,1961.21,Paid,Enterprise,2023-08
INV00181,C006,2023-08-07,2023-09-06,166.05,Open,Enterprise,2023-08
INV00182,C080,2023-08-21,2023-09-20,227.49,Partial,Enterprise,2023-08
INV00183,C120,2023-08-02,2023-09-01,140.77,Open,Pro,2023-08
INV00184,C055,2023-08-22,2023-09-21,164.2,Paid,Enterprise,2023-08
INV00185,C053,2023-08-26,2023-09-25,377.2,Paid,Pro,2023-08
INV00186,C037,2023-08-02,2023-09-01,203.07,Paid,Pro,2023-08
INV00187,C119,2023-08-27,2023-09-26,258.04,Paid,Basic,2023-08
INV00188,C101,2023-08-10,2023-09-09,173.43,Paid,Pro,2023-08
INV00189,C042,2023-08-13,2023-09-12,1178.15,Paid,Enterprise,2023-08
INV00190,C048,2023-08-06,2023-09-05,460.94,Paid,Enterprise,2023-08
INV00191,C065,2023-08-01,2023-08-31,689.27,Paid,Basic,2023-08
INV00192,C044,2023-08-17,2023-09-16,202.32,Paid,Pro,2023-08
INV00193,C091,2023-08-18,2023-09-17,146.97,Paid,Pro,2023-08
INV00194,C092,2023-08-15,2023-09-14,248.57,Paid,Basic,2023-08
INV00195,C037,2023-08-27,2023-09-26,346.73,Paid,Pro,2023-08
INV00196,C059,2023-08-10,2023-09-09,2546.32,Paid,Enterprise,2023-08
INV00197,C051,2023-08-28,2023-09-27,150.67,Partial,Basic,2023-08
INV00198,C028,2023-08-02,2023-09-01,151.84,Open,Enterprise,2023-08
INV00199,C044,2023-08-28,2023-09-27,116.93,Paid,Pro,2023-08
INV00200,C092,2023-08-25,2023-09-24,157.55,Paid,Basic,2023-08
INV00201,C098,2023-08-26,2023-09-25,643.99,Open,Basic,2023-08
INV00202,C047,2023-08-25,2023-09-24,74.6,Paid,Enterprise,2023-08
INV00203,C078,2023-08-12,2023-09-11,144.66,Overdue,Pro,2023-08
INV00204,C108,2023-08-28,2023-09-27,144.92,Paid,Basic,2023-08
INV00205,C115,2023-08-13,2023-09-12,212.94,Paid,Basic,2023-08
INV00206,C129,2023-08-13,2023-09-12,280.84,Open,Enterprise,2023-08
INV00207,C086,2023-08-19,2023-09-18,289.7,Paid,Pro,2023-08
INV00208,C091,2023-09-05,2023-10-05,98.66,Paid,Enterprise,2023-09
INV00209,C007,2023-09-17,2023-10-17,146.85,Paid,Pro,2023-09
INV00210,C138,2023-09-10,2023-10-10,171.03,Overdue,Pro,2023-09
INV00211,C134,2023-09-25,2023-10-25,181.92,Partial,Basic,2023-09
INV00212,C090,2023-09-06,2023-10-06,266.04,Overdue,Basic,2023-09
INV00213,C023,2023-09-10,2023-10-10,187.03,Open,Pro,2023-09
INV00214,C008,2023-09-27,2023-10-27,312.16,Paid,Enterprise,2023-09
INV00215,C133,2023-09-10,2023-10-10,196.93,Paid,Pro,2023-09
INV00216,C076,2023-09-05,2023-10-05,2139.65,Paid,Basic,2023-09
INV00217,C099,2023-09-08,2023-10-08,439.74,Open,Basic,2023-09
INV00218,C043,2023-09-06,2023-10-06,132.02,Paid,Pro,2023-09
INV00219,C032,2023-09-26,2023-10-26,135.03,Open,Enterprise,2023-09
INV00220,C128,2023-09-05,2023-10-05,178.41,Paid,Basic,2023-09
INV00221,C136,2023-09-22,2023-10-22,404.82,Paid,Basic,2023-09
INV00222,C034,2023-09-09,2023-10-09,877.23,Paid,Basic,2023-09
INV00223,C120,2023-09-21,2023-10-21,295.54,Partial,Basic,2023-09
INV00224,C003,2023-09-21,2023-10-21,680.07,Paid,Pro,2023-09
INV00225,C032,2023-09-02,2023-10-02,233.8,Paid,Enterprise,2023-09
INV00226,C099,2023-09-01,2023-10-01,215.81,Paid,Enterprise,2023-09
INV00227,C072,2023-09-19,2023-10-19,609.18,Paid,Basic,2023-09
INV00228,C065,2023-09-09,2023-10-09,805.78,Paid,Enterprise,2023-09
INV00229,C057,2023-09-20,2023-10-20,255.7,Partial,Basic,2023-09
INV00230,C091,2023-09-18,2023-10-18,193.28,Overdue,Pro,2023-09
INV00231,C120,2023-09-03,2023-10-03,302.52,Open,Basic,2023-09
INV00232,C097,2023-09-27,2023-10-27,244.54,Overdue,Enterprise,2023-09
INV00233,C120,2023-09-28,2023-10-28,196.74,Partial,Enterprise,2023-09
INV00234,C132,2023-09-21,2023-10-21,210.52,Open,Enterprise,2023-09
INV00235,C053,2023-09-11,2023-10-11,109.52,Paid,Basic,2023-09
INV00236,C001,2023-09-08,2023-10-08,180.09,Paid,Enterprise,2023-09
INV00237,C007,2023-09-16,2023-10-16,258.98,Overdue,Enterprise,2023-09
INV00238,C022,2023-09-06,2023-10-06,273.14,Overdue,Pro,2023-09
INV00239,C031,2023-09-24,2023-10-24,3579.34,Paid,Enterprise,2023-09
INV00240,C095,2023-09-14,2023-10-14,159.15,Paid,Pro,2023-09
INV00241,C140,2023-09-04,2023-10-04,328.63,Paid,Basic,2023-09
INV00242,C126,2023-09-24,2023-10-24,529.14,Paid,Pro,2023-09
INV00243,C032,2023-09-27,2023-10-27,77.04,Paid,Pro,2023-09
INV00244,C057,2023-09-21,2023-10-21,186.02,Paid,Basic,2023-09
INV00245,C040,2023-09-19,2023-10-19,224.28,Paid,Pro,2023-09
INV00246,C002,2023-09-15,2023-10-15,238.88,Paid,Basic,2023-09
INV00247,C010,2023-09-17,2023-10-17,396.92,Open,Enterprise,2023-09
INV00248,C115,2023-09-13,2023-10-13,104.62,Paid,Pro,2023-09
INV00249,C127,2023-09-14,2023-10-14,742.97,Overdue,Enterprise,2023-09
INV00250,C032,2023-09-18,2023-10-18,144.25,Paid,Enterprise,2023-09
INV00251,C098,2023-09-27,2023-10-27,2416.34,Overdue,Basic,2023-09
INV00252,C007,2023-09-01,2023-10-01,192.12,Open,Enterprise,2023-09
INV00253,C025,2023-09-13,2023-10-13,626.53,Paid,Pro,2023-09
INV00254,C139,2023-09-13,2023-10-13,112.04,Paid,Basic,2023-09
INV00255,C048,2023-09-28,2023-10-28,554.31,Overdue,Pro,2023-09
INV00256,C014,2023-09-25,2023-10-25,1860.12,Paid,Pro,2023-09
INV00257,C073,2023-09-12,2023-10-12,238.95,Paid,Basic,2023-09
INV00258,C125,2023-09-15,2023-10-15,192.28,Paid,Pro,2023-09
INV00259,C097,2023-09-11,2023-10-11,203.04,Partial,Basic,2023-09
INV00260,C103,2023-09-03,2023-10-03,638.9,Paid,Enterprise,2023-09
INV00261,C119,2023-09-06,2023-10-06,202.63,Paid,Enterprise,2023-09
INV00262,C015,2023-09-19,2023-10-19,192.28,Paid,Pro,2023-09
INV00263,C086,2023-09-24,2023-10-24,264.11,Paid,Basic,2023-09
INV00264,C015,2023-09-16,2023-10-16,214.49,Overdue,Pro,2023-09
INV00265,C022,2023-09-03,2023-10-03,513.7,Overdue,Pro,2023-09
INV00266,C108,2023-09-09,2023-10-09,199.3,Open,Enterprise,2023-09
INV00267,C135,2023-09-03,2023-10-03,1097.7,Paid,Enterprise,2023-09
INV00268,C077,2023-09-25,2023-10-25,3617.55,Paid,Pro,2023-09
INV00269,C125,2023-09-01,2023-10-01,142.8,Paid,Pro,2023-09
INV00270,C129,2023-09-15,2023-10-15,304.77,Overdue,Pro,2023-09
INV00271,C001,2023-09-22,2023-10-22,262.06,Paid,Basic,2023-09
INV00272,C118,2023-09-14,2023-10-14,3017.39,Paid,Basic,2023-09
INV00273,C001,2023-09-26,2023-10-26,182.91,Open,Enterprise,2023-09
INV00274,C015,2023-09-07,2023-10-07,117.44,Paid,Enterprise,2023-09
INV00275,C032,2023-09-10,2023-10-10,271.33,Paid,Enterprise,2023-09
INV00276,C114,2023-09-18,2023-10-18,2379.47,Paid,Pro,2023-09
INV00277,C137,2023-09-23,2023-10-23,340.89,Paid,Enterprise,2023-09
INV00278,C049,2023-09-01,2023-10-01,193.31,Paid,Enterprise,2023-09
INV00279,C137,2023-09-22,2023-10-22,1403.22,Overdue,Enterprise,2023-09
INV00280,C051,2023-09-14,2023-10-14,291.9,Overdue,Enterprise,2023-09
INV00281,C016,2023-09-13,2023-10-13,2599.16,Paid,Basic,2023-09
INV00282,C033,2023-09-01,2023-10-01,666.44,Partial,Enterprise,2023-09
INV00283,C113,2023-09-28,2023-10-28,1166.85,Partial,Enterprise,2023-09
INV00284,C095,2023-09-06,2023-10-06,484.5,Paid,Basic,2023-09
INV00285,C038,2023-09-05,2023-10-05,593.24,Overdue,Pro,2023-09
INV00286,C023,2023-09-10,2023-10-10,213.78,Open,Pro,2023-09
INV00287,C118,2023-09-13,2023-10-13,3285.26,Paid,Basic,2023-09
INV00288,C020,2023-09-07,2023-10-07,152.96,Paid,Enterprise,2023-09
INV00289,C033,2023-09-16,2023-10-16,968.46,Overdue,Pro,2023-09
INV00290,C036,2023-09-13,2023-10-13,162.57,Paid,Basic,2023-09
INV00291,C101,2023-09-17,2023-10-17,195.69,Partial,Basic,2023-09
INV00292,C071,2023-09-19,2023-10-19,347.84,Open,Enterprise,2023-09
INV00293,C097,2023-09-10,2023-10-10,174.87,Overdue,Basic,2023-09
INV00294,C135,2023-09-04,2023-10-04,1309.86,Partial,Basic,2023-09
INV00295,C037,2023-09-06,2023-10-06,137.5,Paid,Pro,2023-09
INV00296,C064,2023-09-13,2023-10-13,197.79,Overdue,Basic,2023-09
INV00297,C067,2023-09-22,2023-10-22,786.29,Paid,Pro,2023-09
INV00298,C056,2023-09-08,2023-10-08,3442.2,Paid,Basic,2023-09
INV00299,C109,2023-09-02,2023-10-02,3182.59,Paid,Pro,2023-09
INV00300,C029,2023-09-26,2023-10-26,573.27,Paid,Enterprise,2023-09
INV00301,C102,2023-09-07,2023-10-07,275.16,Paid,Enterprise,2023-09
INV00302,C019,2023-09-03,2023-10-03,501.86,Overdue,Pro,2023-09
INV00303,C115,2023-09-27,2023-10-27,185.97,Paid,Basic,2023-09
INV00304,C040,2023-09-28,2023-10-28,102.49,Paid,Pro,2023-09
INV00305,C077,2023-09-14,2023-10-14,2346.01,Overdue,Pro,2023-09
INV00306,C068,2023-10-20,2023-11-19,184.56,Paid,Enterprise,2023-10
INV00307,C017,2023-10-19,2023-11-18,89.91,Paid,Basic,2023-10
INV00308,C001,2023-10-19,2023-11-18,185.5,Paid,Pro,2023-10
INV00309,C127,2023-10-15,2023-11-14,673.27,Paid,Pro,2023-10
INV00310,C026,2023-10-07,2023-11-06,199.8,Overdue,Basic,2023-10
INV00311,C051,2023-10-18,2023-11-17,239.73,Paid,Pro,2023-10
INV00312,C011,2023-10-13,2023-11-12,127.1,Paid,Enterprise,2023-10
INV00313,C025,2023-10-13,2023-11-12,297.73,Overdue,Pro,2023-10
INV00314,C135,2023-10-08,2023-11-07,1861.46,Paid,Basic,2023-10
INV00315,C105,2023-10-02,2023-11-01,292.03,Overdue,Pro,2023-10
INV00316,C004,2023-10-07,2023-11-06,282.27,Paid,Pro,2023-10
INV00317,C025,2023-10-15,2023-11-14,238.03,Overdue,Pro,2023-10
INV00318,C069,2023-10-05,2023-11-04,697.38,Partial,Pro,2023-10
INV00319,C033,2023-10-04,2023-11-03,742.2,Paid,Pro,2023-10
INV00320,C047,2023-10-21,2023-11-20,125.97,Paid,Pro,2023-10
INV00321,C105,2023-10-04,2023-11-03,314.71,Paid,Pro,2023-10
INV00322,C031,2023-10-28,2023-11-27,1528.42,Paid,Pro,2023-10
INV00323,C058,2023-10-09,2023-11-08,243.37,Paid,Pro,2023-10
INV00324,C075,2023-10-01,2023-10-31,96.01,Paid,Pro,2023-10
INV00325,C084,2023-10-20,2023-11-19,207.04,Overdue,Pro,2023-10
INV00326,C121,2023-10-16,2023-11-15,297.18,Paid,Pro,2023-10
INV00327,C049,2023-10-07,2023-11-06,259.28,Open,Pro,2023-10
INV00328,C093,2023-10-09,2023-11-08,329.06,Paid,Enterprise,2023-10
INV00329,C120,2023-10-26,2023-11-25,246.51,Overdue,Basic,2023-10
INV00330,C059,2023-10-27,2023-11-26,5217.96,Paid,Enterprise,2023-10
INV00331,C032,2023-10-12,2023-11-11,296.63,Overdue,Enterprise,2023-10
INV00332,C056,2023-10-09,2023-11-08,4831.08,Paid,Enterprise,2023-10
INV00333,C008,2023-10-11,2023-11-10,211.41,Paid,Pro,2023-10
INV00334,C105,2023-10-09,2023-11-08,259.72,Paid,Pro,2023-10
INV00335,C066,2023-10-10,2023-11-09,756.32,Overdue,Pro,2023-10
INV00336,C106,2023-10-23,2023-11-22,146.66,Paid,Pro,2023-10
INV00337,C095,2023-10-12,2023-11-11,305.69,Overdue,Pro,2023-10
INV00338,C100,2023-10-05,2023-11-04,174.19,Paid,Basic,2023-10
INV00339,C019,2023-10-04,2023-11-03,341.7,Paid,Basic,2023-10
INV00340,C083,2023-10-15,2023-11-14,179.94,Open,Basic,2023-10
INV00341,C071,2023-10-04,2023-11-03,878.42,Overdue,Pro,2023-10
INV00342,C106,2023-10-08,2023-11-07,97.13,Paid,Enterprise,2023-10
INV00343,C076,2023-10-18,2023-11-17,1084.2,Paid,Basic,2023-10
INV00344,C004,2023-10-02,2023-11-01,171.0,Paid,Basic,2023-10
INV00345,C003,2023-10-12,2023-11-11,175.69,Paid,Enterprise,2023-10
INV00346,C093,2023-10-07,2023-11-06,101.64,Paid,Enterprise,2023-10
INV00347,C106,2023-10-04,2023-11-03,248.64,Paid,Enterprise,2023-10
INV00348,C116,2023-10-08,2023-11-07,362.92,Paid,Basic,2023-10
